2804530,11027960,24437740,46134280,70056940,100354700,142027410,181368250,233834820,284866229,335470220,413641990,470403630,554981420,639193780,729554750,814495760,904091840,1018244100,1162904270
91180,135400,193439,257409,341710,428120,486939,570330,672860,732710,801290,961020,1086059,1098100,1280690,1217880,1496730,1393130,1537570,1555040
17580,29310,27350,19430,23570,35670,40829,46040,52630,41230,45789,76680,69780,110929,175370,108540,114300,135959,198209,109600

685030,1453709,2301720,3145079,4037830,4974210,5906079,6735220,7814860,8716910,9699000,10743230,11839610,12862520,13950670,14857440,15748739,17041710,17985300,19282720
42080,148170,258379,462510,569220,599880,948190,1064070,1018980,920100,1475619,1229660,1708789,1627600,1903799,2258100,2380270,2257560,2008459,2848310

0,0,0,0,0
4295535,9271840,14655994,21115955,27173170
0,0,0,0,0
0,0,0,0,0
4445370,9727370,15331950,21874990,31953005
0,0,0,0,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374005,780090,1185185,1656240,2117025,2483840,3039340,3465495,3885295,4416685,4943370,5429430,6000055,6429275,7049720,7547160,7954750,8606380,8994800,9912965
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28185,60225,94290,130995,163000,194670,234060,269405,306470,344565,372310,427125,474065,507475,545535,582050,643510,672425,734920,736710
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

1416160,5398380,12169245,21679775,33785125,50047470,68801745,86797405,111333565,138902385,167820735,194848370,229197470,264804300,305508305,345528225,395741315,438936995,493721900,542713140
28185,60225,94290,130995,163000,194670,234060,269405,306470,344565,372310,427125,474065,507475,545535,582050,643510,672425,734920,736710,1185185,1656240,2117025,2483840,3039340,3465495,3885295,4416685,4943370,5429430,6000055,6429275,7049720,7547160,7954750,8606380,8994800,9912965,15331950,21874990,31953005
7285,5095,6875,7660,13660,19435,19555,16375,24790,22345,44360,36455,46270,47380,34395,38015,57010,45500,53735,59370
,,
